index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
326,44474.1,-19.56,210.81,-2.52,-107.7,-188.0,-108.13,183.89
327,44462.95,-18.99,210.81,-2.52,-107.71,-188.0,-108.12,183.89
328,44452.88,-18.42,210.81,-2.52,-107.71,-188.0,-108.12,183.9
329,44443.87,-17.84,210.81,-2.52,-107.71,-187.99,-108.12,183.9
330,44435.93,-17.27,210.81,-2.52,-107.71,-187.99,-108.12,183.9
331,44429.04,-16.69,210.81,-2.52,-107.71,-187.99,-108.12,183.9
332,44423.17,-16.14,210.81,-2.53,-107.71,-187.99,-108.12,183.9
333,44418.33,-15.52,210.81,-2.53,-107.71,-187.99,-108.11,183.9
334,44414.5,-14.94,210.81,-2.53,-107.71,-187.99,-108.11,183.9
335,44411.66,-14.43,210.81,-2.53,-107.71,-187.99,-108.11,183.9
336,44409.79,-13.78,210.81,-2.53,-107.71,-187.99,-108.11,183.9
337,44408.89,-13.19,210.81,-2.53,-107.71,-187.99,-108.11,183.9
338,44408.94,-12.61,210.81,-2.53,-107.71,-187.99,-108.11,183.9
339,44409.91,-12.03,210.81,-2.53,-107.71,-187.99,-108.11,183.9
340,44411.8,-11.45,210.81,-2.53,-107.71,-187.99,-108.11,183.9
341,44414.58,-10.88,210.81,-2.53,-107.71,-187.99,-108.11,183.9
342,44418.24,-10.31,210.81,-2.53,-107.71,-187.99,-108.11,183.9
343,44422.76,-9.73,210.81,-2.53,-107.71,-187.99,-108.11,183.9
344,44428.12,-9.17,210.81,-2.53,-107.71,-187.99,-108.12,183.9
345,44434.31,-8.6,210.81,-2.53,-107.71,-187.99,-108.12,183.9
346,44441.3,-8.04,210.81,-2.52,-107.71,-187.99,-108.12,183.9
347,44449.07,-7.49,210.81,-2.52,-107.71,-187.99,-108.12,183.9
348,44457.61,-6.93,210.81,-2.52,-107.71,-188.0,-108.12,183.9
